"X","file","mfcc_1_mean","mfcc_1_std","mfcc_2_mean","mfcc_2_std","mfcc_3_mean","mfcc_3_std","mfcc_4_mean","mfcc_4_std","mfcc_5_mean","mfcc_5_std","mfcc_6_mean","mfcc_6_std","mfcc_7_mean","mfcc_7_std","mfcc_8_mean","mfcc_8_std","mfcc_9_mean","mfcc_9_std","mfcc_10_mean","mfcc_10_std","mfcc_11_mean","mfcc_11_std","mfcc_12_mean","mfcc_12_std","mfcc_13_mean","mfcc_13_std","spectral_centroid_mean","spectral_centroid_std","spectral_brightness","spectral_contrast_1_mean","spectral_contrast_1_std","spectral_contrast_2_mean","spectral_contrast_2_std","spectral_contrast_3_mean","spectral_contrast_3_std","spectral_contrast_4_mean","spectral_contrast_4_std","spectral_contrast_5_mean","spectral_contrast_5_std","spectral_contrast_6_mean","spectral_contrast_6_std","spectral_contrast_7_mean","spectral_contrast_7_std","spectral_flatness_mean","spectral_flatness_std","f0_mean","f0_std","F1_mean","F2_mean","F3_mean","F1_bandwidth","F2_bandwidth","F3_bandwidth","vibrato_rate","vibrato_amplitude","jitter_local","hnr_mean","RAHVUS","tyyp","rahvas","viide","kloonitud"
11,"ERA, Pl. 46 A1_clip2.wav",-279.828186035156,35.205867767334,135.112701416016,20.1469631195068,-83.6939544677734,16.1472969055176,12.9938611984253,13.5022449493408,-11.9687547683716,9.70083904266357,-32.0159797668457,9.47893333435059,-4.66686105728149,11.3545417785645,-26.9872398376465,7.77132940292358,-5.31521558761597,7.11876344680786,-2.32128310203552,6.65411520004272,-13.5007839202881,7.20063209533691,0.501118361949921,5.54739046096802,-10.7251901626587,7.48873567581177,1348.01638296175,292.977240180984,0.335872292518616,13.1609209726738,4.03734865279879,25.125059901807,5.23136854593467,25.4573131287616,6.24943135421718,21.2321269084715,5.73097716654611,20.0904137655864,5.18436220388604,24.919789429374,2.3024618292648,55.5355449647321,5.03980487241762,8.08411641628481e-05,0.00045821454841643,321.956617782811,58.6044501206312,678.225393619023,1637.33921775859,2369.30608086374,224.555422039979,698.21255855735,599.332323747419,4.19889502762431,94.153482787672,0.0107021151718078,19.3044239171163,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
12,"ERA, Pl. 46 A1_clip3.wav",-267.654174804688,33.4645919799805,134.43278503418,21.4725551605225,-89.5675735473633,14.9314804077148,16.4629516601562,15.9878044128418,-13.3545379638672,9.51522922515869,-30.2267894744873,8.06713771820068,-3.69883990287781,11.5449800491333,-27.8196544647217,7.2371883392334,-3.8699095249176,6.4660472869873,-3.32485938072205,6.72255563735962,-12.0812196731567,7.05331516265869,2.9578549861908,6.00683355331421,-9.68116474151611,7.29024839401245,1398.34996294959,343.673327993901,0.355709999799728,13.7115394548757,4.08583204508588,24.713482923856,5.35516328047155,26.0270298064913,6.82528649110763,21.5128831096183,5.79055437448463,20.9984783044526,5.1439843403436,25.1852045299328,1.92122911968309,55.1051450559005,4.91279173202093,6.26724940957502e-05,0.00015592083218507,304.967399872479,63.9860099888846,683.850528419647,1676.42231683519,2388.00070548189,214.11729093988,575.437605811009,635.003478359687,4.40324449594438,92.1459349016324,0.00795906362033658,20.9285440164196,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
13,"ERA, Pl. 46 A1_clip4.wav",-264.828918457031,45.2204971313477,137.400787353516,21.5775814056396,-81.7073364257812,25.4804248809814,6.54482889175415,20.0002593994141,-12.1906147003174,13.1421127319336,-31.9745693206787,9.80730247497559,-5.48233461380005,12.0274038314819,-24.4560775756836,8.77911758422852,-7.45510864257812,7.73972749710083,-3.5382080078125,8.36799430847168,-13.3785409927368,7.75404453277588,-1.10825443267822,7.50469350814819,-11.4193153381348,7.2054557800293,1286.1170200616,268.938979828601,0.306214153766632,13.5735785345327,3.87020345410273,25.1198891889985,4.85218475106189,26.3612604000011,6.23334121352714,23.1753592106842,5.91070491954919,21.6208374216119,5.26197126410145,25.2887728587144,2.89692974904868,54.6451973460386,4.53450078485829,4.04368329327554e-05,0.00017319558537565,322.702244865456,56.8443493855535,680.672468401754,1594.54860268772,2394.72728767613,193.053350404722,618.875593208367,673.213466856739,4.35729847494553,118.449985327752,0.0102627415463279,19.6865419665982,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
14,"ERA, Pl. 46 A1_clip5.wav",-288.739318847656,51.0675659179688,136.182403564453,19.9738674163818,-69.4472579956055,32.6715431213379,2.26314043998718,16.9040584564209,-2.76318407058716,10.5717105865479,-34.8076210021973,11.9431352615356,-14.3382158279419,10.6391525268555,-21.0095863342285,8.18854904174805,-7.29383325576782,8.43081092834473,-1.9463723897934,7.83764696121216,-11.9446077346802,6.74612903594971,-0.0109615102410316,7.10097742080688,-7.7467679977417,7.7601203918457,1204.91443707741,191.733657820159,0.302180022001266,13.2003386257429,4.29564080759747,25.2505990231664,4.37206238304614,27.4534287060689,6.14324828634356,23.9696813636598,5.08663643775099,24.1213942576118,5.4774303890044,24.7101573620534,3.75054085997252,55.0563829478502,4.84223233580005,2.81345146504464e-05,0.00014060251123737,315.930960567502,42.2336337451424,644.330437422349,1619.02752947707,2313.20478127387,168.463015308522,603.826237404191,634.258943220146,6.61521499448732,82.091314920572,0.00732134210325547,21.4994760679157,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
15,"ERA, Pl. 46 A1_clip6.wav",-301.638427734375,53.3400077819824,140.279800415039,19.3959407806396,-67.3297119140625,32.7562866210938,-0.29930379986763,16.8359241485596,-5.95259094238281,12.227068901062,-30.9094181060791,10.8585271835327,-10.34144115448,10.2764072418213,-21.9358043670654,8.87593746185303,-9.6046199798584,9.15000820159912,-2.00925874710083,7.50445985794067,-9.87942028045654,6.60623216629028,0.640802979469299,6.98799133300781,-7.94754695892334,6.57000780105591,1160.59715754672,167.075142930904,0.267218172550201,13.0487636750544,4.15060955835876,25.4618807589869,4.93324010287829,27.1865590350002,5.92603262485028,24.0128884317157,5.472859185667,23.4067760290896,5.5832029631866,24.142293214623,3.95229563484296,54.8295527206657,4.75310414616758,3.96729483327363e-05,0.00042211319669149,327.653281151384,39.8161471928712,641.448326567306,1547.25144370305,2331.885714427,151.77342587748,534.958970576595,773.808486392911,4.86425339366516,98.9845537755777,0.00734660180042374,21.9001389768185,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
16,"ERA, Pl. 46 A1_clip7.wav",-284.242584228516,53.9328880310059,143.582305908203,22.5804061889648,-73.7532501220703,32.0867538452148,-0.555058002471924,20.6711235046387,-6.58640289306641,15.1468601226807,-33.313591003418,11.930323600769,-10.0989103317261,11.2462692260742,-18.7718963623047,8.68416500091553,-8.95278739929199,8.32289123535156,-5.12409162521362,8.48657512664795,-12.9154472351074,7.19227504730225,-0.607776045799255,7.38536691665649,-7.97727632522583,7.04312324523926,1199.8114761775,178.383155878476,0.284103184938431,13.2790723011922,4.51993511834622,24.5460380134723,4.90899804289924,26.6448200738141,5.94562057216109,24.3917012089656,5.78502967569653,24.1905874265946,5.15931346091034,24.7656974133649,3.55136140006806,54.7618945904568,4.44157114752312,2.13521452678833e-05,0.00011304431245662,320.738099158175,48.3912799242455,664.617963757109,1539.18820631293,2321.82044744355,184.677712071344,569.173205739617,720.024157774191,5.46265328874024,97.5772261103411,0.00717782975146278,20.1981360961884,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
17,"ERA, Pl. 46 A1_clip8.wav",-288.452758789062,55.2134284973145,141.583526611328,20.3219795227051,-79.8554153442383,32.887508392334,2.36747241020203,18.7741622924805,-4.55170249938965,13.6462278366089,-32.0707588195801,13.211633682251,-11.3043069839478,11.5198774337769,-20.5040397644043,8.14704608917236,-9.60327911376953,8.64876079559326,-3.29871249198914,8.26480770111084,-10.0560035705566,7.83612823486328,0.856500208377838,7.06139707565308,-7.22896432876587,8.5345573425293,1225.8118639799,159.278189846811,0.294437736272812,13.2867209908905,4.45037973453342,25.2345039830077,4.69249027736921,27.5246910399295,6.28139605371514,24.6679196668743,5.58048026356627,24.7451680103206,4.97446330033628,25.262373769351,3.88260545150278,55.1632492806046,4.54268211463889,2.567055162217e-05,0.00018920702859759,320.85296568055,35.2813059362597,655.82838117726,1591.04334700408,2298.08997022135,171.292229550976,566.896544930104,606.146755411024,4.33333333333333,91.0480532686832,0.00640957184906999,21.6703367971564,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
18,"ERA, Pl. 46 A1_clip9.wav",-282.800170898438,53.8086585998535,140.726669311523,20.7407302856445,-78.8409194946289,34.4079399108887,3.68068552017212,18.2376461029053,-4.66802501678467,12.533748626709,-35.9228439331055,12.6820802688599,-12.5986738204956,11.5540943145752,-19.2364749908447,8.22714614868164,-7.98717880249023,9.09436893463135,-2.99868845939636,8.07184600830078,-12.0153579711914,8.07552242279053,-1.12663495540619,6.90359401702881,-6.76259851455688,7.73720455169678,1248.31370421127,199.569804419881,0.316186606884003,13.147480519198,3.56812405159162,25.1382772932055,4.28905991753861,26.989620316201,5.63349041097772,24.5563016054795,5.2670761191491,24.1622417090874,5.19036648282422,25.1426857754399,3.68506238318948,55.3871134503473,4.80893280181052,9.34322233661078e-05,0.00124406756367534,319.565246599513,39.0215793065569,663.554808778637,1583.06759294857,2309.65245695839,170.721532771353,624.96134517634,561.901404906781,4.17112299465241,113.614288003814,0.00711932465775639,20.4745028196685,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
19,"ERA, Pl. 46 B2_clip0.wav",-262.783935546875,31.714448928833,133.711563110352,18.6297359466553,-84.314094543457,16.8884181976318,17.7805500030518,19.2430610656738,-17.1079998016357,12.4278764724731,-29.4148063659668,8.52006912231445,-2.8565194606781,10.9714546203613,-29.0315856933594,8.49308013916016,-6.78605127334595,6.38554096221924,-10.6359748840332,7.06182336807251,-15.9687156677246,6.50617027282715,1.99145662784576,5.2070574760437,-11.0477857589722,5.4940037727356,1381.33537869386,227.388852069977,0.33202052116394,13.2585834294081,4.446864791573,24.1475753484675,4.77396408878557,24.8627224166169,4.99763765832873,21.4359136724501,5.97887152310625,20.1677682937025,4.07631895471835,25.0139796860549,2.12947219824168,55.5940590015677,4.51853974662719,2.7679934646585e-05,8.72656746651046e-05,302.476928839885,41.3567360868079,647.182745709141,1607.89726824082,2433.82554532628,246.737118423484,601.255962409768,626.582990019632,6.19747899159664,87.544426498504,0.00876940167387775,17.9910066592634,"eesti","originaal","eesti","ERA, Pl. 46 B2",FALSE
20,"ERA, Pl. 46 B2_clip1.wav",-252.579223632812,46.7074851989746,134.164352416992,25.3796920776367,-87.831169128418,22.0434741973877,18.7648258209229,19.5950202941895,-16.6705570220947,12.4542531967163,-28.8724308013916,9.07420444488525,-3.73163557052612,12.0237398147583,-28.2967338562012,9.738694190979,-5.09919834136963,7.60362434387207,-9.88191223144531,8.05373287200928,-16.2638854980469,6.95782566070557,1.02957355976105,5.94266033172607,-12.1181755065918,6.57621812820435,1424.55917955234,342.972978849841,0.35372656583786,13.8109219021584,4.39586560329429,23.6615061596524,5.75294441940267,23.9799716862665,6.02540563810078,21.041388011054,5.58043764641949,20.3759749458382,4.6649359101107,25.4599234262691,2.39428605029209,55.1164594714519,4.91697062362329,8.74869438121095e-05,0.00033630389953032,288.21714075356,74.0971187086189,678.968974262597,1638.33102427725,2452.9914902567,267.242999070261,619.829337308911,634.090959665656,5.14285714285714,70.8617272326721,0.00835569058775173,17.951692938072,"eesti","originaal","eesti","ERA, Pl. 46 B2",FALSE
